dataset	shot	status	accuracy	accuracy_std	num_runs
GestureMidAirD3	10	success	0.2153846154	0.0153846154	5
GestureMidAirD3	2	success	0.2025641026	0.0117501941	5
GestureMidAirD3	5	success	0.2333333333	0.0160128154	5
GesturePebbleZ1	1	success	0.3895348837	0.0628875222	5
GesturePebbleZ1	10	success	0.6220930233	0.0253424357	5
GesturePebbleZ1	2	success	0.3875968992	0.0292629242	5
GesturePebbleZ1	5	success	0.5562015504	0.0643048838	5
GesturePebbleZ2	1	success	0.3523206751	0.0952175873	5
GesturePebbleZ2	10	success	0.6687763713	0.0159279208	5
GesturePebbleZ2	2	success	0.4240506329	0.0415027755	5
GesturePebbleZ2	5	success	0.5400843882	0.0538284845	5
GunPoint	1	success	0.5888888889	0.0443888541	5
GunPoint	10	success	0.8600000000	0.0176383421	5
GunPoint	2	success	0.6133333333	0.0133333333	5
GunPoint	5	success	0.7844444444	0.1042077697	5
GunPointAgeSpan	1	success	0.5981012658	0.0384984970	5
GunPointAgeSpan	10	success	0.7436708861	0.0746191527	5
GunPointAgeSpan	2	success	0.5337552743	0.0269142422	5
GunPointAgeSpan	5	success	0.7415611814	0.0535486926	5
GunPointMaleVersusFemale	1	success	0.8670886076	0.1542863512	5
GunPointMaleVersusFemale	10	success	0.9810126582	0.0494742105	5
GunPointMaleVersusFemale	2	success	0.8871308017	0.0864528544	5
GunPointMaleVersusFemale	5	success	0.9630801688	0.0799469073	5
GunPointOldVersusYoung	1	success	0.5957671958	0.0477599327	5
GunPointOldVersusYoung	10	success	0.8433862434	0.0431014007	5
GunPointOldVersusYoung	2	success	0.6380952381	0.0618029280	5
GunPointOldVersusYoung	5	success	0.6857142857	0.1669008181	5
Ham	1	success	0.5142857143	0.0846494706	5
Ham	10	success	0.5968253968	0.0450077679	5
Ham	2	success	0.5555555556	0.1112017771	5
Ham	5	success	0.5555555556	0.0821112200	5
HandOutlines	1	success	0.5972972973	0.0363611461	5
HandOutlines	10	success	0.6963963964	0.0636332014	5
HandOutlines	2	success	0.5612612613	0.1733175060	5
HandOutlines	5	success	0.6567567568	0.0162162162	5
Haptics	1	success	0.2251082251	0.0392754271	5
Haptics	10	success	0.3041125541	0.0505424001	5
